Alpha;Beta;Gamma;Eredmény;Ütközés;Min_Távolság;Lépésszám;Átlag_Sebesség
3;4;8;SIKER;False;0.15;205;0.477
3;4;9;SIKER;False;0.151;205;0.477
3;4;10;SIKER;False;0.151;205;0.478
3;5;0;TIMEOUT;False;0.447;599;0.377
3;5;1;TIMEOUT;False;0.316;599;0.42
3;5;2;SIKER;False;0.153;394;0.439
3;5;3;SIKER;False;0.15;219;0.442
3;5;4;SIKER;False;0.151;222;0.461
3;5;5;SIKER;False;0.151;208;0.472
3;5;6;SIKER;False;0.15;214;0.462
3;5;7;SIKER;False;0.15;204;0.479
3;5;8;SIKER;False;0.15;205;0.477
3;5;9;SIKER;False;0.151;205;0.477
3;5;10;SIKER;False;0.151;205;0.478
3;6;0;TIMEOUT;False;0.447;599;0.377
3;6;1;TIMEOUT;False;0.316;599;0.42
3;6;2;SIKER;False;0.153;394;0.439
3;6;3;SIKER;False;0.15;219;0.442
3;6;4;SIKER;False;0.151;222;0.461
3;6;5;SIKER;False;0.151;208;0.472
3;6;6;SIKER;False;0.15;214;0.462
3;6;7;SIKER;False;0.15;204;0.479
3;6;8;SIKER;False;0.15;205;0.477
3;6;9;SIKER;False;0.151;205;0.477
3;6;10;SIKER;False;0.151;205;0.478
3;7;0;TIMEOUT;False;0.447;599;0.377
3;7;1;TIMEOUT;False;0.316;599;0.42
3;7;2;SIKER;False;0.153;394;0.439
3;7;3;SIKER;False;0.15;219;0.442
3;7;4;SIKER;False;0.151;222;0.461
3;7;5;SIKER;False;0.151;208;0.472
3;7;6;SIKER;False;0.15;214;0.462
3;7;7;SIKER;False;0.15;204;0.479
3;7;8;SIKER;False;0.15;205;0.477
3;7;9;SIKER;False;0.151;205;0.477
3;7;10;SIKER;False;0.151;205;0.478
3;8;0;TIMEOUT;False;0.447;599;0.377
3;8;1;TIMEOUT;False;0.316;599;0.42
3;8;2;SIKER;False;0.153;394;0.439
3;8;3;SIKER;False;0.15;219;0.442
3;8;4;SIKER;False;0.151;222;0.461
3;8;5;SIKER;False;0.151;208;0.472
3;8;6;SIKER;False;0.15;214;0.462
3;8;7;SIKER;False;0.15;204;0.479
3;8;8;SIKER;False;0.15;205;0.477
3;8;9;SIKER;False;0.151;205;0.477
3;8;10;SIKER;False;0.151;205;0.478
3;9;0;TIMEOUT;False;0.447;599;0.377
3;9;1;TIMEOUT;False;0.316;599;0.42
3;9;2;SIKER;False;0.153;394;0.439
3;9;3;SIKER;False;0.15;219;0.442
3;9;4;SIKER;False;0.151;222;0.461
3;9;5;SIKER;False;0.151;208;0.472
3;9;6;SIKER;False;0.15;214;0.462
3;9;7;SIKER;False;0.15;204;0.479
3;9;8;SIKER;False;0.15;205;0.477
3;9;9;SIKER;False;0.151;205;0.477
3;9;10;SIKER;False;0.151;205;0.478
3;10;0;TIMEOUT;False;0.447;599;0.377
3;10;1;TIMEOUT;False;0.316;599;0.42
3;10;2;SIKER;False;0.153;394;0.439
3;10;3;SIKER;False;0.15;219;0.442
3;10;4;SIKER;False;0.151;222;0.461
3;10;5;SIKER;False;0.151;208;0.472
3;10;6;SIKER;False;0.15;214;0.462
3;10;7;SIKER;False;0.15;204;0.479
3;10;8;SIKER;False;0.15;205;0.477
3;10;9;SIKER;False;0.151;205;0.477
3;10;10;SIKER;False;0.151;205;0.478
4;0;0;TIMEOUT;False;0.135;599;0.026
4;0;1;TIMEOUT;False;0.139;599;0.026
4;0;2;TIMEOUT;False;0.14;599;0.028
4;0;3;TIMEOUT;False;0.14;599;0.028
4;0;4;TIMEOUT;False;0.078;599;0.04
4;0;5;TIMEOUT;False;0.078;599;0.04
4;0;6;TIMEOUT;False;0.067;599;0.041
4;0;7;TIMEOUT;False;0.067;599;0.041
4;0;8;TIMEOUT;False;0.11;599;0.043
4;0;9;TIMEOUT;False;0.11;599;0.043
4;0;10;TIMEOUT;False;0.1;599;0.045
4;1;0;TIMEOUT;False;0.447;599;0.377
4;1;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;1;2;TIMEOUT;False;0.069;599;0.421
4;1;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;1;4;SIKER;False;0.15;219;0.442
4;1;5;SIKER;False;0.153;212;0.459
4;1;6;SIKER;False;0.151;219;0.463
4;1;7;SIKER;False;0.15;216;0.46
4;1;8;SIKER;False;0.15;214;0.462
4;1;9;SIKER;False;0.151;205;0.477
4;1;10;SIKER;False;0.15;204;0.479
4;2;0;TIMEOUT;False;0.447;599;0.377
4;2;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;2;2;TIMEOUT;False;0.069;599;0.421
4;2;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;2;4;SIKER;False;0.15;219;0.442
4;2;5;SIKER;False;0.153;212;0.459
4;2;6;SIKER;False;0.151;219;0.463
4;2;7;SIKER;False;0.15;216;0.46
4;2;8;SIKER;False;0.15;214;0.462
4;2;9;SIKER;False;0.151;205;0.477
4;2;10;SIKER;False;0.15;204;0.479
4;3;0;TIMEOUT;False;0.447;599;0.377
4;3;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;3;2;TIMEOUT;False;0.069;599;0.421
4;3;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;3;4;SIKER;False;0.15;219;0.442
4;3;5;SIKER;False;0.153;212;0.459
4;3;6;SIKER;False;0.151;219;0.463
4;3;7;SIKER;False;0.15;216;0.46
4;3;8;SIKER;False;0.15;214;0.462
4;3;9;SIKER;False;0.151;205;0.477
4;3;10;SIKER;False;0.15;204;0.479
4;4;0;TIMEOUT;False;0.447;599;0.377
4;4;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;4;2;TIMEOUT;False;0.069;599;0.421
4;4;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;4;4;SIKER;False;0.15;219;0.442
4;4;5;SIKER;False;0.153;212;0.459
4;4;6;SIKER;False;0.151;219;0.463
4;4;7;SIKER;False;0.15;216;0.46
4;4;8;SIKER;False;0.15;214;0.462
4;4;9;SIKER;False;0.151;205;0.477
4;4;10;SIKER;False;0.15;204;0.479
4;5;0;TIMEOUT;False;0.447;599;0.377
4;5;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;5;2;TIMEOUT;False;0.069;599;0.421
4;5;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;5;4;SIKER;False;0.15;219;0.442
4;5;5;SIKER;False;0.153;212;0.459
4;5;6;SIKER;False;0.151;219;0.463
4;5;7;SIKER;False;0.15;216;0.46
4;5;8;SIKER;False;0.15;214;0.462
4;5;9;SIKER;False;0.151;205;0.477
4;5;10;SIKER;False;0.15;204;0.479
4;6;0;TIMEOUT;False;0.447;599;0.377
4;6;1;ÜTKÖZÉS;True;-0.02;137;0.397
4;6;2;TIMEOUT;False;0.069;599;0.421
4;6;3;ÜTKÖZÉS;True;-0.003;136;0.435
4;6;4;SIKER;False;0.15;219;0.442
4;6;5;SIKER;False;0.153;212;0.459
4;6;6;SIKER;False;0.151;219;0.463
